source,relative_path,actor,source_label,target_label,split_group,file_ext
osf_smile_types,OSF Smile Types/Types of Smiles/Andrew_Affiliation.mp4,Andrew,Affiliation,affiliative,Andrew,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Andrew_Anger.mp4,Andrew,Anger,negative_other,Andrew,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Andrew_Disgust.mp4,Andrew,Disgust,negative_other,Andrew,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Andrew_Dominance.mp4,Andrew,Dominance,dominance,Andrew,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Andrew_Reward.mp4,Andrew,Reward,reward,Andrew,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Andrew_Sadness.mp4,Andrew,Sadness,frown_candidate,Andrew,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Anna_Affiliation.mp4,Anna,Affiliation,affiliative,Anna,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Anna_Anger.mp4,Anna,Anger,negative_other,Anna,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Anna_Disgust.mp4,Anna,Disgust,negative_other,Anna,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Anna_Dominance.mp4,Anna,Dominance,dominance,Anna,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Anna_Reward.mp4,Anna,Reward,reward,Anna,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Anna_Sadness.mp4,Anna,Sadness,frown_candidate,Anna,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Anthony_Affiliation.mp4,Anthony,Affiliation,affiliative,Anthony,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Anthony_Anger.mp4,Anthony,Anger,negative_other,Anthony,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Anthony_Disgust.mp4,Anthony,Disgust,negative_other,Anthony,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Anthony_Dominance.mp4,Anthony,Dominance,dominance,Anthony,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Anthony_Reward.mp4,Anthony,Reward,reward,Anthony,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Anthony_Sadness.mp4,Anthony,Sadness,frown_candidate,Anthony,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Ashley_Affiliation.mp4,Ashley,Affiliation,affiliative,Ashley,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Ashley_Anger.mp4,Ashley,Anger,negative_other,Ashley,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Ashley_Disgust.mp4,Ashley,Disgust,negative_other,Ashley,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Ashley_Dominance.mp4,Ashley,Dominance,dominance,Ashley,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Ashley_Reward.mp4,Ashley,Reward,reward,Ashley,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Ashley_Sadness.mp4,Ashley,Sadness,frown_candidate,Ashley,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Dmonte_Affiliation.mp4,Dmonte,Affiliation,affiliative,Dmonte,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Dmonte_Anger.mp4,Dmonte,Anger,negative_other,Dmonte,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Dmonte_Disgust.mp4,Dmonte,Disgust,negative_other,Dmonte,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Dmonte_Dominance.mp4,Dmonte,Dominance,dominance,Dmonte,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Dmonte_Reward.mp4,Dmonte,Reward,reward,Dmonte,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Dmonte_Sadness.mp4,Dmonte,Sadness,frown_candidate,Dmonte,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Jessica_Affiliation.mp4,Jessica,Affiliation,affiliative,Jessica,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Jessica_Anger.mp4,Jessica,Anger,negative_other,Jessica,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Jessica_Disgust.mp4,Jessica,Disgust,negative_other,Jessica,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Jessica_Dominance.mp4,Jessica,Dominance,dominance,Jessica,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Jessica_Reward.mp4,Jessica,Reward,reward,Jessica,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Jessica_Sadness.mp4,Jessica,Sadness,frown_candidate,Jessica,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Joeseph_Affiliation.mp4,Joeseph,Affiliation,affiliative,Joeseph,mp4
